2026-04-14 20:20:06.757 | INFO     | __main__:test_llm:8 - Sending prompt to LLM: What is the capital of France?
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\graph\state.py", line 1284, in _get_updates
    raise InvalidUpdateError(msg)
langgraph.errors.InvalidUpdateError: Expected dict, got [{'title': '17 Top AI Medical Diagnostic Apps in 2024 - SevenTech', 'url': 'https://www.seventech.ai/ai-medical-diagnostic-apps/', 'snippet': 'Applications of AI in medicine have the amazing potential to completely transform the healthcare sector. ... interact with Molly and a number of other ...', 'source': 'duckduckgo'}, {'title': 'AI Influence on Medical Diagnostics Generating Billion Dollar', 'url': 'https://www.financialnewsmedia.com/ai-influence-on-medical-diagnostics-generating-billion-dollar-revenues-while-growing-adoption-reduces-healthcare-costs/', 'snippet': 'In diagnostic testing, AI is used to analyze medical images (CT scans, X-rays, ultrasounds, MRIs, and DXAs), large patient data, vital signs ...', 'source': 'duckduckgo'}, {'title': 'AI in medical diagnostics and decision-making | TechTarget', 'url': 'https://www.techtarget.com/searchenterpriseai/feature/AI-in-medical-diagnostics-and-decision-making', 'snippet': "... AI use cases in healthcare focus on optimizing medical diagnostics ... AI's role in the medical field extends beyond diagnostics and decision-making.", 'source': 'duckduckgo'}, {'title': 'AI In Medical Diagnostics Market In 2029 | Health Industry Watch', 'url': 'https://www.healthindustrywatch.com/article/878401404-ai-in-medical-diagnostics-market-in-2029', 'snippet': 'The AI in medical diagnostics market is segmented by application into computer-aided detection, computer-aided diagnosis, quantitative analysis tools ...', 'source': 'duckduckgo'}, {'title': 'Amazon launches AI research tool to speed early-stage drug discovery | Reuters', 'url': 'https://www.reuters.com/business/healthcare-pharmaceuticals/amazon-launches-ai-research-tool-speed-early-stage-drug-discovery-2026-04-14/', 'snippet': "1 day ago - April 14 (Reuters) - Amazon's (AMZN.O), opens new tab cloud unit on Tuesday launched Amazon Bio Discovery, an artificial intelligence application designed to speed early-stage drug discovery by allowing scientists to run complex computational ...", 'source': 'duckduckgo'}, {'title': 'From Algorithm to Medicine: AI in the Discovery and Development of New Drugs', 'url': 'https://www.mdpi.com/2673-2688/7/1/26', 'snippet': 'January 14, 2026 - The reviewed evidence indicates that AI has significantly accelerated drug discovery and development by reducing timeframes, costs, and failure rates. AI-based approaches have enhanced the efficiency of target identification, optimized lead ...', 'source': 'duckduckgo'}, {'title': 'AI in drug discovery: predictions for 2026 | Opinion | Drug Target Review', 'url': 'https://www.drugtargetreview.com/article/192962/ai-in-drug-discovery-predictions-for-2026/', 'snippet': '2 weeks ago - AI-enabled workflows will demonstrably compress early discovery timelines by 30-40 percent and reduce preclinical candidate development to 13-18 months (versus traditional three to four years).', 'source': 'duckduckgo'}, {'title': 'Artificial intelligence in drug discovery and development: transforming challenges into opportunities | Discover Pharmaceutical Sciences | Springer Nature Link', 'url': 'https://link.springer.com/article/10.1007/s44395-025-00007-3', 'snippet': 'June 2, 2025 - Future advancements in AI-powered drug discovery will require a focus on improving data standardization, fostering transparency in AI model development, and strengthening collaboration between AI researchers and pharmaceutical experts.', 'source': 'duckduckgo'}, {'title': 'Ethical and legal considerations in healthcare AI: innovation and policy for safe and fair use | Royal Society Open Science | The Royal Society', 'url': 'https://royalsocietypublishing.org/rsos/article/12/5/241873/235732/Ethical-and-legal-considerations-in-healthcare-AI', 'snippet': 'May 1, 2025 - Legal challenges, including data privacy and security, liability for AI errors, regulatory approval processes, intellectual property and cross-border regulations, are also addressed.', 'source': 'duckduckgo'}, {'title': 'AI in healthcare: legal and ethical considerations at the new frontier', 'url': 'https://www.aoshearman.com/en/insights/ao-shearman-on-life-sciences/ai-in-healthcare-legal-and-ethical-considerations-at-the-new-frontier', 'snippet': 'October 23, 2025 - But to get there will require robust regulatory frameworks to address safety, privacy, and bias concerns—as well as scenario-based assessments to ensure AI’s safe and ethical deployment.', 'source': 'duckduckgo'}, {'title': 'Frontiers | Ethics of AI in healthcare: a scoping review demonstrating applicability of a foundational framework', 'url': 'https://www.frontiersin.org/journals/digital-health/articles/10.3389/fdgth.2025.1662642/full', 'snippet': 'August 25, 2025 - Indeed, ethical issues and unknowns raised by involvement of AI in healthcare are evolving as quickly as the technology itself, while regulatory governance currently lags behind (e.g., explicit permission to use patient data for training AI models) ...', 'source': 'duckduckgo'}, {'title': 'AI in Healthcare: Ethical & Regulatory Hurdles', 'url': 'https://www.birlasoft.com/articles/artificial-intelligence-in-healthcare-addressing-ethical-and-regulatory-hurdles', 'snippet': 'June 24, 2025 - ... The current challenge lies in the abstract nature of AI concepts. AI systems must become more transparent, specific, and reliably accurate to realize the tangible effects mentioned earlier.', 'source': 'duckduckgo'}, {'title': 'The Impact of Artificial Intelligence on Personalized Medicine: a ...', 'url': 'https://fmhr.net/index.php/fmhr/article/view/341', 'snippet': "This article explores AI's current role, challenges, and future possibilities in personalized medicine, highlighting its potential to transform healthcare and improve patient outcomes. As AI continues to evolve, it is essential to prioritize patient-centered care, ensure data security, and promote transparency in AI decision-making processes.", 'source': 'duckduckgo'}, {'title': 'AI Applications in Healthcare and Personalized Medicine', 'url': 'https://link.springer.com/chapter/10.1007/978-3-032-02705-4_14', 'snippet': 'The role of AI in personalized medicine is underscored by its ability to analyze extensive genomic, clinical, and lifestyle data, enabling highly tailored treatment strategies that improve patient outcomes.', 'source': 'duckduckgo'}, {'title': 'The expanding role of artificial intelligence in personalised medicine ...', 'url': 'https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2026.1795879/full', 'snippet': 'The role of AI in personalized treatment AI is transforming precision medicine by analyzing large, diverse patient data, including genetics, clinical histories, imaging, and lifestyle factors. This analysis enables the detection of complexities and patient subgroups, supporting personalized treatment plans. Advanced Machine Learning (ML) and Deep Learning (DL) techniques boost diagnostic ...', 'source': 'duckduckgo'}, {'title': 'AI in Personalized Treatment Plans: Top Use Cases & Benefits', 'url': 'https://appinventiv.com/blog/ai-in-personalized-treatment-plans/', 'snippet': "Here's how AI-driven personalized medicine plays a crucial role in improving patient care and outcomes: Predictive Insights: Artificial intelligence in personalized medicine analyzes genetic, clinical, and lifestyle data to predict disease risk and suggest interventions at an early stage.", 'source': 'duckduckgo'}, {'title': 'Artificial intelligence in healthcare - Wikipedia', 'url': 'https://en.wikipedia.org/wiki/Artificial_intelligence_in_healthcare', 'snippet': 'X-ray of a hand, with automatic calculation of bone age by a computer software. Artificial intelligence in healthcare is the application of artificial intelligence (AI) to analyze and understand complex medical and healthcare data.', 'source': 'duckduckgo'}, {'title': 'The Future of AI: How AI Is Changing the World | Built In', 'url': 'https://builtin.com/artificial-intelligence/artificial-intelligence-future', 'snippet': 'The future of AI includes expanded roles in daily life, from supporting human care and household tasks to boosting workplace research and efficiency, powered by advances in generative models, automation and intelligent decision-making.', 'source': 'duckduckgo'}, {'title': 'grandviewresearch.com/industry-analysis/artificial-intelligence-ai...', 'url': 'https://www.grandviewresearch.com/industry-analysis/artificial-intelligence-ai-healthcare-market', 'snippet': 'AI in Healthcare: Market Trends and Forecasts.', 'source': 'duckduckgo'}, {'title': 'Digital Health Trends 2024 | IQVIA', 'url': 'https://www.iqvia.com/insights/the-iqvia-institute/reports-and-publications/reports/digital-health-trends-2024', 'snippet': 'AI Insights & Thought Leadership. Get in-depth, expert perspectives on mission critical AI topics, trends, and emerging capabilities..Clinical decision support (CDS) tools that assess patient health data to help inform providers as they diagnose disease.', 'source': 'duckduckgo'}, {'title': '(PDF) Data Privacy and Security Concerns in AI-Driven Healthcare', 'url': 'https://www.researchgate.net/publication/394275058_Data_Privacy_and_Security_Concerns_in_AI-Driven_Healthcare', 'snippet': 'This paper critically explores the multifaceted issues surrounding data privacy and security in AI-driven healthcare, identifying key risks, legal challenges, and emerging solutions.', 'source': 'duckduckgo'}, {'title': 'AI in Healthcare: Security and Privacy Concerns - lepide.com', 'url': 'https://www.lepide.com/blog/ai-in-healthcare-security-and-privacy-concerns/', 'snippet': 'AI is transforming healthcare, but at what cost? Explore the security and privacy risks of AI-driven healthcare and how to safeguard patient data.', 'source': 'duckduckgo'}, {'title': 'Medical Data Privacy and Security in the AI Age - Springer', 'url': 'https://link.springer.com/chapter/10.1007/978-3-031-94690-5_14', 'snippet': 'This chapter examines challenges to medical data privacy and security in the age of artificial intelligence (AI). It analyzes how AI intensifies concerns about health record privacy and security and evaluates key elements of federal legal oversight, including the...', 'source': 'duckduckgo'}, {'title': 'Data Privacy in the Age of AI: Who protects our Health Data?', 'url': 'https://data2evidence.org/knowledge/data-privacy-in-the-age-of-ai/', 'snippet': 'To achieve this, policymakers, healthcare providers, and technology companies must collaborate on stronger laws, transparent practices, and privacy-preserving AI solutions. Protecting healthcare data in the AI era requires a multi-layered strategy: AI privacy policies must be updated to address data flows, model training, and user consent.', 'source': 'duckduckgo'}]
For troubleshooting, visit: https://docs.langchain.com/oss/python/langgraph/errors/INVALID_GRAPH_NODE_RETURN_VALUE
During task with name 'research' and id '05f4c6eb-b7fe-eaef-b5f4-108cc71b60c3'

2026-04-16 13:18:07.102 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-16 13:18:08.375 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-16 13:18:08.594 | INFO     | __main__:<module>:154 - {'event': 'agent_execution_started', 'topic': 'what is llm'}
2026-04-16 13:18:08.599 | INFO     | __main__:router_node:44 - {'event': 'router_node_started', 'topic': 'what is llm'}
